task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f0/ad7026	38321921	set_analysis_parameters (1)	COMPLETED	0	2025-10-20 00:05:07.719	19.3s	11.7s	71.4%	464.2 MB	1.2 GB	32.7 MB	25.2 MB
2	7c/139aa9	38321922	prepare_assign_grnas (1)	COMPLETED	0	2025-10-20 00:05:27.358	9.7s	3.3s	80.2%	297.1 MB	976 MB	40.2 MB	16.8 KB
7	52/f7cd46	38321923	assign_grnas (4)	COMPLETED	0	2025-10-20 00:05:37.301	9.8s	3.7s	83.3%	294.9 MB	974.1 MB	43.9 MB	88.1 KB
4	f4/65449b	38321924	assign_grnas (1)	COMPLETED	0	2025-10-20 00:05:37.433	9.6s	3.4s	85.9%	297.3 MB	984 MB	44 MB	159.1 KB
5	a5/93dd77	38321925	assign_grnas (2)	COMPLETED	0	2025-10-20 00:05:37.564	9.5s	3.9s	81.9%	294.9 MB	974.1 MB	43.9 MB	113.7 KB
9	29/593d3c	38321927	assign_grnas (6)	COMPLETED	0	2025-10-20 00:05:37.809	9.3s	3.7s	81.6%	297.2 MB	981.3 MB	43.9 MB	75.2 KB
11	a4/718a94	38321928	assign_grnas (8)	COMPLETED	0	2025-10-20 00:05:37.930	9.2s	3.3s	82.5%	297.1 MB	976 MB	43.9 MB	52.2 KB
6	fc/b5be54	38321926	assign_grnas (3)	COMPLETED	0	2025-10-20 00:05:37.689	9.4s	3.7s	82.0%	295 MB	974.1 MB	43.9 MB	92.1 KB
8	05/856034	38321930	assign_grnas (5)	COMPLETED	0	2025-10-20 00:05:38.177	8.9s	3.2s	84.9%	296.9 MB	976 MB	43.9 MB	86.9 KB
12	ef/088fac	38321931	assign_grnas (9)	COMPLETED	0	2025-10-20 00:05:38.309	8.8s	3.3s	82.6%	296.8 MB	975.9 MB	43.9 MB	42.8 KB
